sim_id,cell,domain,provider,task_id,caller,outcome,source,evidence,quote
058d9eaa-f43f-4ee7-a819-dbe4c97d62b3,pt_airline_gemini_high,airline,gemini,9_pt_identity,male,pass,judge,,
1444ec42-f887-482d-96b6-6a8d99ab7bd3,pt_airline_gemini_high,airline,gemini,49_pt_identity,female,pass,judge,,
06c9ac29-7e8d-4b5a-b557-935a33e57682,pt_airline_gemini_high,airline,gemini,25_pt_identity,male,pass,judge,,
5cb317e7-d49c-40e2-9623-26b852f5416f,pt_airline_gemini_high,airline,gemini,48_pt_identity,female,pass,judge,,
09346f3a-2b7b-4f2d-bfbd-c019272aba82,pt_airline_gemini_high,airline,gemini,36_pt_identity,male,pass,judge,,
24abb4cb-73f8-4aee-8cb7-440d60b4a78e,pt_airline_gemini_high,airline,gemini,31_pt_identity,male,pass,judge,,
53577699-ac07-4339-a600-c2c68f1460e5,pt_airline_gemini_high,airline,gemini,24_pt_identity,female,pass,judge,,
307fc354-c466-4b07-a8d6-21fecc930cf0,pt_airline_gemini_high,airline,gemini,28_pt_identity,female,pass,judge,,
414d371d-6799-4808-a28f-8a1f31e37fe4,pt_airline_gemini_high,airline,gemini,41_pt_identity,female,pass,judge,,
9eb3da65-6d15-4a80-9c2a-ceb331d1decd,pt_airline_gemini_high,airline,gemini,46_pt_identity,female,pass,judge,,
1025280f-048d-4a40-96b5-4b04b83aa203,pt_airline_gemini_high,airline,gemini,10_pt_identity,male,pass,judge,,
097a9fa7-e29a-4d14-ada4-c413941be69f,pt_airline_gemini_high,airline,gemini,47_pt_identity,female,fail,judge,"O agente usa uma forma masculina para se referir ao usuário associado ao ID da cliente, que é uma mulher conhecida no contexto. A forma natural seria ""o seu ID da usuária"" ou, mais idiomaticamente, ""o seu ID de usuária""/""seu ID de usuário"" como rótulo genérico sem artigo definido masculino.",o seu ID do usuário
98d40151-4541-4303-aa8d-9efbe32f4336,pt_airline_gemini_high,airline,gemini,13_pt_identity,male,pass,judge,,
715b9d20-ca76-40b7-b6e2-4e917f2beaf8,pt_airline_gemini_high,airline,gemini,26_pt_identity,female,pass,judge,,
46d3edfc-376d-4cd1-b308-25e0c7b76149,pt_airline_gemini_high,airline,gemini,1_pt_identity,male,pass,judge,,
d741a401-e42b-4516-966f-5c87aa0a11a2,pt_airline_gemini_high,airline,gemini,45_pt_identity,female,fail,judge,"Há erro de concordância de gênero: ""seguro"" é masculino, então o particípio deveria ser masculino. O natural seria dizer ""não foi comprado seguro de viagem"" ou ""não foi contratado um seguro de viagem"".",comprada seguro de viagem
d910c1f0-015a-4fa3-9895-7d6bbfe6d1e2,pt_airline_gemini_high,airline,gemini,32_pt_identity,male,pass,judge,,
7c3b6eac-7f12-4199-ac76-4d6b7557bf86,pt_airline_gemini_high,airline,gemini,38_pt_identity,male,pass,judge,,
beddd764-26eb-47f0-8e5f-87fdb865fd53,pt_airline_gemini_high,airline,gemini,0_pt_identity,female,pass,judge,,
23952bab-06cd-4a61-b085-8e3f337b1603,pt_airline_gemini_high,airline,gemini,34_pt_identity,female,fail,judge,"O agente se dirige a uma cliente mulher usando o adjetivo masculino. O natural seria dizer ""fique tranquila"".",fique tranquilo
60864f1d-c89c-43c2-baa6-0a9a1976d0bd,pt_airline_gemini_high,airline,gemini,4_pt_identity,female,fail,judge,"O agente é masculino, mas usou a forma feminina de agradecimento. O natural seria: ""Obrigado pelas informações, Leticia.""",Obrigada
415d3110-1874-40b6-af79-9db99a1da889,pt_airline_gemini_high,airline,gemini,19_pt_identity,female,pass,judge,,
66e1ade2-5671-4f07-a48b-55a544dc7e12,pt_airline_gemini_high,airline,gemini,17_pt_identity,male,pass,judge,,
4eab63b8-1739-4572-bbcf-581a8b01d295,pt_airline_gemini_minimal,airline,gemini,17_pt_identity,male,pass,judge,,
