row_id,language,call_id,finding_types,human_note
18ed20ee95fd9a7da727,es,[mobile_data_issue]airplane_mode_on|bad_network_preference[PERSONA:Hard]_es_identity,Comprehension,
8c3f76b09fd93398a2bb,es,[mobile_data_issue]airplane_mode_on|bad_network_preference|bad_vpn|data_mode_off|data_saver_mode_on|data_usage_exceeded|user_abroad_roaming_enabled_off[PERSONA:Easy]_es_identity,Comprehension,
afd5e854cd662edd8569,ko,[mobile_data_issue]airplane_mode_on|bad_network_preference|bad_vpn|data_mode_off|data_saver_mode_on|data_usage_exceeded|user_abroad_roaming_disabled_on[PERSONA:None]_ko_identity,"latency, Hallucination lookup",Agent became unresponsive for the rest of the call after performing a hallucinated lookup
91044af0ebd170b84fc9,ko,[mobile_data_issue]airplane_mode_on|bad_network_preference|bad_vpn|data_mode_off|data_usage_exceeded|user_abroad_roaming_enabled_off[PERSONA:Easy]_ko_identity,"comprehension, verbosity","The agent ignored the caller's request to restart an explanation and mistranscribed a clearly spelled-out phone number, causing the simulation to fail"
cad499318298028298c4,ko,[mobile_data_issue]airplane_mode_on|bad_network_preference|bad_vpn|data_saver_mode_on|data_usage_exceeded|user_abroad_roaming_enabled_off[PERSONA:None]_ko_identity,"agent repetition, comprehension","The agent refused to interact with the caller for nearly two minutes and failed to retrieve the correct data despite being given the accurate name and date of birth, resulting in a task failure."
56a9d9bf092ea86a6b35,ko,[mobile_data_issue]airplane_mode_on|bad_network_preference|data_mode_off|data_saver_mode_on[PERSONA:Hard]_ko_identity,"latency, comprehension","The agent's chronic unresponsiveness throughout the 15-minute call caused the task to fail, though the caller reacted unrealistically by talking to herself for five minutes and solving the problem alone without showing frustration."
88763258ab21cec6366d,ko,[mobile_data_issue]airplane_mode_on|bad_network_preference|data_mode_off|data_saver_mode_on|data_usage_exceeded|user_abroad_roaming_disabled_on[PERSONA:None]_ko_identity,"latency, agent repetition","The agent exhibited two separate instances of unresponsiveness during the session, failing to gather data before a frustrated caller disconnected."
af887e2200fd4b8a43c8,ko,[mobile_data_issue]airplane_mode_on|bad_network_preference|data_mode_off|data_usage_exceeded|user_abroad_roaming_disabled_on[PERSONA:None]_ko_identity,"turn taking, latency",The agent interrupted the caller and subsequently went completely silent and unresponsive for the remainder of the session
24e2bb88db4ad9d36dea,ko,[mobile_data_issue]airplane_mode_on|bad_network_preference|data_mode_off|user_abroad_roaming_disabled_on[PERSONA:Hard]_ko_identity,"turn taking, Hallucination lookup, Abrupt Ending","The agent cut the caller off at 1:53 while he was giving his phone number. Instead of listening, the agent looked up a made up number, which broke the workflow and caused the call to be transferred to a human agent."
d600802da46e040c0c57,ko,[mobile_data_issue]airplane_mode_on|bad_network_preference|user_abroad_roaming_enabled_off[PERSONA:Easy]_ko_identity,"comprehension, Abrupt Ending","The agent ran an incorrect lookup but eventually retrieved the right account info, though the simulation ultimately failed due to a premature disconnection on the agent's side."
14e558136482de9ae06e,ko,[mobile_data_issue]bad_network_preference|bad_vpn|data_usage_exceeded|user_abroad_roaming_disabled_off[PERSONA:Easy]_ko_identity,"turn taking, Hallucination lookup, latency","The agent interrupted the caller to run a query with an incorrect phone number. After multiple interruptions and failing to log the number, the agent went completely silent, leading the frustrated caller to hang up."
2bb42f9744c085f964da,ko,[mobile_data_issue]bad_vpn|data_saver_mode_on|user_abroad_roaming_disabled_on[PERSONA:None]_ko_identity,"comprehension, verbosity","The call concluded successfully, but the agent made two contextual errors: an inappropriate opening remark thanking the caller for details they had not yet provided, and an awkward repetition of the same expression later in the session."
33f22d66b49a91ea15e6,ko,[mobile_data_issue]data_saver_mode_on|user_abroad_roaming_enabled_off[PERSONA:Easy]_ko_identity,"comprehension, latency","The agent failed to capture the phone number despite the caller spelling it out clearly, and later went entirely silent, causing the call to fail and end."
137e299ae2492a5fa972,ko,[mobile_data_issue]data_usage_exceeded|user_abroad_roaming_enabled_off[PERSONA:Easy]_ko_identity,"comprehension, turn taking, latency","The agent repeatedly talked over the caller and eventually went silent, forcing the caller to disconnect despite explicitly requesting to stay connected.A"
aeb9e29c662debfc360b,ko,[service_issue]airplane_mode_on|break_apn_settings[PERSONA:Hard]_ko_identity,"turn taking, Hallucination lookup, comprehension, Abrupt Ending","The agent repeatedly interrupted the caller with incorrect data, failed to process the request despite accurate information, and abruptly transferred the call."
c45ff4d134c876573d07,ko,[service_issue]airplane_mode_on|break_apn_settings|lock_sim_card_pin[PERSONA:None]_ko_identity,"turn taking, Hallucination lookup, Abrupt Ending, naturalness","The agent repeatedly interrupted the caller with hallucinated data, failed to process the request despite accurate account details, and abruptly transferred the call. Agent stuttered and awkwardly repeated broken phrases (e.g., '이름으로 그럼 이름으로', '좋아요, 말씀좋아요...')."
f9f3dd9ec392f354fa73,ko,[service_issue]airplane_mode_on|break_apn_settings|unseat_sim_card[PERSONA:None]_ko_identity,"turn taking, latency","The agent interrupted the caller right from the start, but then went completely silent at 0:33, forcing the caller to end the call."
2c18ebe442a18e98c933,ko,[service_issue]airplane_mode_on|lock_sim_card_pin[PERSONA:Easy]_ko_identity,"Hallucination lookup, comprehension, Abrupt Ending","The agent searched using hallucinated data before receiving information, continued using incorrect data due to ASR errors, and the call cut off abruptly with an audio drop."
84069f7cc14fd07bb601,ko,[service_issue]airplane_mode_on|lock_sim_card_pin|unseat_sim_card[PERSONA:Hard]_ko_identity,"comprehension, Hallucination lookup, Abrupt Ending","The agent searched using hallucinated data before receiving any information, continued using incorrect data due to ASR errors, and the call cut off abruptly from an audio drop."
251e8e3abe286c1e2aef,ko,[service_issue]airplane_mode_on|overdue_bill_suspension[PERSONA:None]_ko_identity,"Hallucination lookup, comprehension, Abrupt Ending","The agent searched using hallucinated data before the caller even provided any information, continued with subsequent ASR errors, and the call cut off abruptly mid-conversation."
cae2d80bbbb41d0c9b49,ko,[service_issue]airplane_mode_on|overdue_bill_suspension|unseat_sim_card[PERSONA:Easy]_ko_identity,"comprehension, Abrupt Ending","The agent failed to capture the caller's information, and the call disconnected abruptly mid-conversation"
5098aca11a5075bce4af,ko,[service_issue]airplane_mode_on|unseat_sim_card[PERSONA:None]_ko_identity,"Hallucination lookup, Abrupt Ending","The agent twice searched using hallucinated data despite receiving correct inputs, and the call cut off abruptly mid-conversation while the caller tried to resolve the issue."
5b67c10b4ff84f1a4a46,pt,Task [mobile_data_issue]airplane_mode_on|bad_network_preference[PERSONA:Hard]_pt_identity,verbosity,"Despite the Agent being a bit too verbose, it didn't compromised much."
2ec4b84ab4f34feb85de,pt,Task [mobile_data_issue]airplane_mode_on|bad_network_preference|bad_vpn|data_mode_off|data_saver_mode_on|data_usage_exceeded|user_abroad_roaming_disabled_off[PERSONA:Hard]_pt_identity,comprehension,Agent was unable to retrieve User’s account despite being informed the correct credentials for authentication.
82e79298b91c1a29a484,pt,Task [mobile_data_issue]airplane_mode_on|bad_network_preference|bad_vpn|data_mode_off|data_saver_mode_on|data_usage_exceeded|user_abroad_roaming_disabled_off[PERSONA:Hard]_pt_identity,forced customer repetition,"The Agent had an on-going tool-call error, which forced the User to repeat their name multiple times."
8c5a3ca5dc8dea719bd6,pt,Task [mobile_data_issue]airplane_mode_on|bad_network_preference|bad_vpn|data_mode_off|data_saver_mode_on|user_abroad_roaming_disabled_off[PERSONA:Hard]_pt_identity,comprehension,"The Agent assisted the User considering the incorrect line as the primary line in the User account, which prevented the issue from being fixed and forced the User through several troubleshooting steps that didn't lead to any results"
c04692f12dfbb2c459b6,pt,Task [mobile_data_issue]airplane_mode_on|bad_network_preference|bad_vpn|data_mode_off|data_usage_exceeded|user_abroad_roaming_enabled_off[PERSONA:Easy]_pt_identity,turn taking,"Turn taking between Agent and User felt unnatural as User backchannels, background noise and User coughs made the interaction not flow seamlessly. Agent speak with thick accent and was also verbose at times."
efe3cb95384cb3be30c3,pt,Task [mobile_data_issue]airplane_mode_on|bad_network_preference|bad_vpn|data_saver_mode_on|data_usage_exceeded|user_abroad_roaming_enabled_off[PERSONA:None]_pt_identity,comprehension,"Agent didn't assist customer properly because didn't comprehend what the actual issue was. Also, agent had a very stiff pronunciation."
c3f23067d4492499196f,pt,Task [mobile_data_issue]airplane_mode_on|data_mode_off[PERSONA:None]_pt_identity,turn taking,The constant pauses and repetitions given User interruptions affected mildly the experience.
9af3d3f6aac98643830b,pt,Task [mobile_data_issue]airplane_mode_on|user_abroad_roaming_enabled_off[PERSONA:None]_pt_identity,turn taking,"The call was great overall, only turn-taking switching too fast and often as well as interruptions that affected the customer experience."
ddef46f133792921243f,pt,Task [mobile_data_issue]bad_vpn|data_mode_off|data_usage_exceeded|user_abroad_roaming_disabled_off[PERSONA:None]_pt_identity,verbosity,"The Agent informed very long troubleshooting steps which dragged the interaction, ultimately it didn’t solve any User issues."
e10619111b2a4c6cb236,pt,Task [service_issue]airplane_mode_on|break_apn_settings[PERSONA:Hard]_pt_identity,naturalness,The Agent spoke with a unnatural pronunciation and thick accent.
66dd046665857691809e,pt,Task [service_issue]airplane_mode_on|break_apn_settings|lock_sim_card_pin[PERSONA:None]_pt_identity,verbosity,The Agent dragged the interaction with lengthy explanations already discribing several steps in a row.
8504ced2ddecdfb637bd,pt,Task [service_issue]airplane_mode_on|break_apn_settings|unseat_sim_card[PERSONA:None]_pt_identity,comprehension,"Agent didn't comprehend the number correctly, misinterpreted backchannel as confirmation and spoke with a thick accent."
890f5466c58901520945,pt,Task [service_issue]airplane_mode_on|break_apn_settings|unseat_sim_card[PERSONA:None]_pt_identity,comprehension,"Agent hallucinated phantom captures when the User didn’t inform credentials, and kept incorrectly interpreting backchannels as requests."
0d6def13679be1234b5d,pt,Task [service_issue]airplane_mode_on|overdue_bill_suspension|unseat_sim_card[PERSONA:Easy]_pt_identity,verbosity,"Agent provide a large set of instructions right away instead of going step-by-step since the beginning. Also, the agent implied the incorrect line needed assistance. The agent has a thick accent and several pronunciation issues."
a5b683bc5914a4fbdeab,pt,Task [service_issue]airplane_mode_on|unseat_sim_card[PERSONA:None]_pt_identity,"pronunciation, agent repetition","Agent repeats itself and wirh a distinct non-native pronunciation, speaking with a thick an US-English speaking accent."
022e995fe4aefb6d7f64,pt,Task [service_issue]break_apn_settings|lock_sim_card_pin[PERSONA:None]_pt_identity,comprehension,"Agent transcribed credentials incorrectly, which prevented the call from moving forward."
264a8bbd6eddbed98a11,pt,Task [service_issue]break_apn_settings|lock_sim_card_pin[PERSONA:None]_pt_identity,comprehension,"Agent failed to capture and transcribe correctly the User credentials which prevent the interaction from moving forward, given that the Agent transferred the call abruptly."
7150123762e1df18fa80,pt,Task [service_issue]break_apn_settings|lock_sim_card_pin[PERSONA:None]_pt_identity,comprehension,Agent failed to transcribe User credentials twice. which prevented a resolution from being achieved.
e04f94efa9a52e00ef1e,pt,Task [service_issue]contract_end_suspension|lock_sim_card_pin[PERSONA:Hard]_pt_identity,other,"Agent didn't attempt to fix the issue, transfered the User directly to a human agent."
4f45f70933589cc63c65,pt,Task [service_issue]contract_end_suspension|unseat_sim_card[PERSONA:Hard]_pt_identity,forced customer repetition,Agent requested User to spell out several ID's  for authentication
70af06a3bf117699723d,zh,[mobile_data_issue]airplane_mode_on|bad_network_preference|bad_vpn|data_mode_off|data_saver_mode_on|data_usage_exceeded|user_abroad_roaming_disabled_on[PERSONA:None]_zh_identity,"comprehension, turn taking",The agent repeatedly interrupted while the user was speaking.【tick 203-232]
6a10058f7806895b74a7,zh,[mobile_data_issue]airplane_mode_on|bad_network_preference|bad_vpn|data_mode_off|data_saver_mode_on|data_usage_exceeded|user_abroad_roaming_enabled_off[PERSONA:Easy]_zh_identity,"comprehension, forced customer repetition","The agent repeatedly misrecognized the user's name, forcing the user to repeat it multiple times. This made the interaction feel unintelligent and reduced confidence in the agent's ability to resolve the issue."
84892624fda5dbb4c197,zh,[mobile_data_issue]airplane_mode_on|bad_network_preference|data_mode_off|data_saver_mode_on[PERSONA:Hard]_zh_identity,"comprehension, forced customer repetition","The agent hallucinated incorrect number and was unable to recognize what the user said, making the interaction feel impossible to communicate through."
e284a9663011d80a85ca,zh,[mobile_data_issue]airplane_mode_on|bad_network_preference|data_mode_off|data_saver_mode_on|data_usage_exceeded|user_abroad_roaming_disabled_on[PERSONA:None]_zh_identity,"comprehension, forced customer repetition","The agent was unable to recognize the right number, making the interaction feel impossible to communicate through."
1e637c7b308670f50898,zh,[mobile_data_issue]airplane_mode_on|bad_network_preference|data_mode_off|user_abroad_roaming_disabled_on[PERSONA:Hard]_zh_identity,"naturalness, comprehension","The agent repeatedly interrupted the user while providing the phone number. After the user said did not remember DOB, the agent continued asking for it instead of responding appropriately, making the interaction feel inattentive and unnatural."
46e0c5b726424d1b1d94,zh,[mobile_data_issue]airplane_mode_on|bad_network_preference|user_abroad_roaming_enabled_off[PERSONA:Easy]_zh_identity,"comprehension, forced customer repetition, turn taking, naturalness","After the user corrected the agent and asked please listen carefully, the agent continued interrupting instead of adapting, making the interaction feel inattentive and unintelligent."
3a4c6096db280d949fce,zh,[mobile_data_issue]airplane_mode_on|data_mode_off|data_saver_mode_on|data_usage_exceeded|user_abroad_roaming_enabled_off[PERSONA:Hard]_zh_identity,"comprehension, turn taking, forced customer repetition","The agent repeatedly misrecognize phone number and interrupted the user, making the interaction feel impossible to communicate through."
2e18dff5677629380844,zh,[mobile_data_issue]airplane_mode_on|user_abroad_roaming_enabled_off[PERSONA:None]_zh_identity,"comprehension, forced customer repetition","The agent repeatedly misrecognized the phone number, making the agent feel unintelligent"
b513ff1139f2fe8a94cd,zh,[mobile_data_issue]bad_network_preference|bad_vpn|data_mode_off|data_saver_mode_on|data_usage_exceeded|user_abroad_roaming_enabled_off[PERSONA:Easy]_zh_identity,"comprehension, forced customer repetition","The agent repeatedly misrecognized the phone number, making the interaction feel impossible to communicate through"
905014a78e0c5f261b1f,zh,[mobile_data_issue]bad_network_preference|bad_vpn|data_usage_exceeded|user_abroad_roaming_disabled_off[PERSONA:Easy]_zh_identity,"comprehension, forced customer repetition","The agent repeatedly misrecognized the phone number and hallucinated A DOB which the user never provide, making the interaction feel impossible to communicate through."
fce2782e84b5cbe2873f,zh,[mobile_data_issue]bad_network_preference|bad_vpn|user_abroad_roaming_enabled_off[PERSONA:Easy]_zh_identity,"comprehension, turn taking, agent repetition, forced customer repetition","The agent interrupted the user, misrecognized the phone number, and forced the user to repeat it several times. After the user said  did not remember DOB, the agent asked for it again, making the interaction feel inattentive, unintelligent, and difficult to communicate with."
ca0d9a2b42a182ffd240,zh,[mobile_data_issue]bad_network_preference|data_mode_off|data_saver_mode_on|data_usage_exceeded|user_abroad_roaming_disabled_off[PERSONA:Easy]_zh_identity,turn taking,"The agent repeatedly interrupted, making the interaction feel impossible to communicate through."
d3e34f4c91ff937bbcf9,zh,[mobile_data_issue]bad_network_preference|data_saver_mode_on|data_usage_exceeded[PERSONA:Hard]_zh_identity,"naturalness , other","The agent laughed (""哈哈"") and said, ""哎呀，保重啊."" The wording and delivery felt strangely eerie and out of place"
fecb3493e80df7930508,zh,[service_issue]airplane_mode_on|break_apn_settings|lock_sim_card_pin[PERSONA:None]_zh_identity,"comprehension, forced customer repetition","The agent repeatedly misrecognized the phone number, making the interaction feel impossible to communicate through."
cf054ead1fc79388f1a3,zh,[service_issue]airplane_mode_on|unseat_sim_card[PERSONA:None]_zh_identity,"comprehension, forced customer repetition, turn taking","The agent repeatedly interrupted the user, making the interaction feel inattentive, unintelligent, and difficult to communicate with."
795ad455cb94cb3e922b,zh,[service_issue]overdue_bill_suspension|unseat_sim_card[PERSONA:Easy]_zh_identity,"comprehension, forced customer repetition","The agent repeatedly misrecognized the phone number, making the interaction feel impossible to communicate through."
