language,task_id,simulation_id,trial,error_source,error_type,notes,voice_prosody_quality,audio_environment_realism,turn_taking_naturalness,backchannel_naturalness,interruption_behavior,behavioral_plausibility,speech_accuracy,phrasing_naturalness,voice_prosody_quality_notes,audio_environment_realism_notes,turn_taking_naturalness_notes,backchannel_naturalness_notes,interruption_behavior_notes,behavioral_plausibility_notes,speech_accuracy_notes,phrasing_naturalness_notes,free_text_comments,caller_experience,experience_breaking_point,experience_breaking_tick,experience_factors,primary_factor,experience_notes,completed
es,83_es_identity,57252b47-739d-4bbd-b5cd-ec720edc05ee,1,,,,4,3,3,3,3,4,4,3,,,,,,,,,,3,,,,,,True
es,17_es_identity,57bfae19-8a16-436f-95ff-ca11e9d77771,0,,,,3,3,2,3,3,3,4,3,,,'@ 0:25.200: Caller asks question for clarification but does not stop speaking to wait for the agent's answer.,,,,,,,3,,,,,,True
es,30_es_identity,5866a073-70f7-4cd6-846f-37c115517dc2,1,,,,4,3,3,3,3,3,4,3,,,,,,,,,,3,,,,,,True
es,38_es_identity,5efc10bc-05bf-4e46-bf8b-697acc04bb6c,1,,,,3,3,3,3,3,4,4,4,,,,,,,,,,4,,,,,,True
es,74_es_identity,60f73a5b-0d51-4662-9053-f2ac1da04142,0,,,,4,3,3,3,3,3,4,3,,,,,,,,,,3,,,,,,True
es,53_es_identity,633fbb0f-a83b-4f46-bcc3-7f89e97f1b5f,0,,,,4,3,3,3,3,4,4,3,,,,,,,,,,3,,,,,,True
es,[mobile_data_issue]airplane_mode_on|bad_network_preference[PERSONA:Hard]_es_identity,63ad0f05-1a8c-4c52-9452-5f97aceb98f1,1,agent,early_termination,Agent did not make all of the pertinent calls and suddenly transferred the call.,3,3,3,2,3,3,4,3,,,,Somewhat absent (missing) during long utterances by the agent.,,,,,,2,overall,,other,other,"Verbosity at the end but, mainly, abrupt transfer.",True
es,[mobile_data_issue]airplane_mode_on|bad_network_preference|data_saver_mode_on|data_usage_exceeded|user_abroad_roaming_disabled_off[PERSONA:None]_es_identity,647ddbb0-034c-49a5-ab6f-568b07faea43,1,,,,3,3,3,3,3,4,4,3,,,,,,,,,,2,overall,,other,other,"a bit inefficient/too much verbosity at times (maybe a real human with less patience would have asked for a transfer at some point during the call). I think a human (with less patience), after following the agent's instructions one or two times without success, would probably stop trusting the agent and ask to be transferred to a human agent.",True
es,83_es_identity,653f67cb-f75d-488e-a132-7e62a39bdc0a,0,,,,4,3,3,3,3,3,4,4,,,,,,,,,,2,tick,1091,"transcription, social_offense",social_offense,"Agent mis-interpreted caller backchannel signaling (""ajá"" -- confirmation signal) as a laugh and started laughing (out of place). Potentially very bad because the user was already frustrated by that the refund could not go to their credit card. This is one of those calls where the issue is technically resolved but there are times during the call that are ""evidence"" of bad cx.",True
es,8_es_identity,65aa30bb-e9af-415e-b8d7-4bc823091e3e,1,,,,4,3,3,3,3,3,4,4,,,,,,,,,,3,,,,,,True
