row_id,language,review_scope,category,title,observed_issue,native_expectation,example,conversation_ref,severity,human_note
05582e5f736922225a2e,es,retained_factor_clause,"Numbers (word-forms, gender, dates)",Dates: day-month order and 'el … de …',Uses month-day order or ordinals for all days ('el primero/segundo/tercero de…'),"Day before month with cardinals: 'el quince de marzo'; only the 1st may be ordinal in some regions ('el primero', LatAm) vs cardinal 'el uno de' (Spain). Year as full number: 'dos mil veinticinco', not 'veinte veinticinco'",,,2 – clearly off,
1c32d9c7a224c019e0b6,es,retained_factor_clause,"Numbers (word-forms, gender, dates)",Number gender agreement with nouns,"Uses invariant 'uno/veintiuno' before feminine nouns: 'veintiuno tarjetas', 'uno reserva'","Apocope/feminine: 'una reserva', 'veintiún euros', 'veintiuna tarjetas', 'doscientas millas/personas' vs 'doscientos euros'",,,2 – clearly off,
26b1ec7c3dd5869cc344,es,retained_factor_clause,Domain terminology,Native airline/telecom/retail terms vs English calques,"Uses anglicisms/calques: 'cancelar mi booking', 'el refund', 'hacer un return', 'mi data plan', 'check-in' said English-style","'mi reserva', 'el reembolso/la devolución', 'una devolución', 'mi tarifa de datos/plan de datos', 'facturación' o naturalized 'el check-in'; 'reembolso' not 'refund'",,,3 – breaks the illusion,
3320979c1a3131e7afac,es,retained_factor_clause,"Entities (booking refs, codes)",Alphanumeric codes: native letter names + spelling alphabet,Spells letters with English names ('A B C' as /ei bi si/) or uses NATO/English spelling words ('B as in Bravo'),"Spanish letter names ('be', 'uve/ve', 'i griega/ye', 'hache', 'jota', 'doble u') and Spanish clarifiers: 'B de Barcelona', 'N de Navarra'. Double letter: 'doble ele' or 'dos eles'",,,3 – breaks the illusion,
60b0d3e0d6de72ceb907,es,retained_factor_clause,Formal vs informal (usted/tú),Default to usted in service calls,"Defaults to tú (English-centric, treats all 'you' as neutral), or mixes tú and usted within one turn","Spanish-speaking caller and agent use usted throughout a cold service call: '¿Me podría ayudar?', 'Quisiera consultar...'; verbs, clitics and possessives stay 3rd person ('su reserva', 'le confirmo'). Switching to tú reads as rude or non-native",,,3 – breaks the illusion,
66c68e04dbc879549692,es,retained_factor_clause,Disfluencies & fillers,Native hesitation markers,"Inserts English-shaped fillers ('um', 'uh') or none at all; overuses 'pues' mechanically","Uses 'eh…', 'este…' (LatAm), 'o sea', 'a ver', 'pues nada', 'es que…' to preface a problem ('Es que no me llegó el reembolso')",,,2 – clearly off,
8c47c14b2e79c2384fc8,es,retained_factor_clause,Regional variety (LatAm vs Spain),Region-locked lexicon must stay consistent,Mixes Peninsular and LatAm markers in one persona: 'vale' + 'ahorita' + 'coger el vuelo' + 'vosotros' alongside 'ustedes',"Stays coherent: Spain → 'vale', 'coger un vuelo', 'vosotros', 'móvil'; LatAm → 'okay/dale', avoids 'coger' (vulgar in much of LatAm; use 'tomar/abordar'), 'ustedes', 'celular', 'ahorita'",,,3 – breaks the illusion,
a4ec29f1da3dcc151c5e,es,retained_factor_clause,Politeness / face,Service-call politeness routines,Over-thanks in English pattern ('Thank you so much' → 'Muchas gracias por tu tiempo') or uses bare imperatives that sound brusque,"'¿Sería tan amable de…?', 'Cuando pueda', 'Si no es molestia', 'Disculpe que le moleste'; closes with 'Muy amable, gracias' / 'Que tenga buen día'. Requests softened with conditional/imperfect",,,2 – clearly off,
a54eb477615865c1e318,es,retained_factor_clause,Idiom & word-choice,"'Esperar' for hold, not calque of 'hold on'",Calques 'hold on' / 'let me check' as 'sostener' or 'déjame chequear' (chequear is an anglicism flagged in formal register),"'Un momento, por favor', 'Permítame que lo compruebo/lo reviso', 'No cuelgue, por favor'. 'comprobar/revisar/consultar' over 'chequear'",,,2 – clearly off,
b1f4eaac4701cf3c574e,es,retained_factor_clause,Grammatical gender agreement,Ser/estar and por/para distinctions,Confuses ser/estar ('mi cuenta es bloqueada' instead of estar) and por/para ('gracias para tu ayuda'),"'mi cuenta está bloqueada' (state), 'el cargo es de 20 euros'; 'gracias por su ayuda', 'es para el día quince'. These map poorly from English and are high-tell errors",,,3 – breaks the illusion,
