sim_id,cell,domain,provider,task_id,caller,outcome,source,evidence,quote
cb6bb896-fa62-4b8d-a0fe-9a9d64217146,hi_airline_gemini_high,airline,gemini,41_hi_identity,female,fail,checker,gender-v3: known male agent contradicted by 'मैं … सकती हूँ',
4209b101-3b12-43f1-b933-6ef7555eb0ce,hi_airline_gemini_minimal,airline,gemini,3_hi_identity,female,fail,checker,gender-v3: known male agent contradicted by 'मैं … सकती हूँ',
ad9d3f76-39a4-48d1-8fdb-2855f58a4a0f,hi_airline_gemini_minimal,airline,gemini,41_hi_identity,female,fail,checker,gender-v3: known male agent contradicted by 'मैं … सकती हूँ',
d2edf572-17eb-4310-acbf-b8e9fd51c3eb,hi_airline_gemini_minimal,airline,gemini,44_hi_identity,female,fail,checker,gender-v3: known male agent contradicted by 'मैं … सकती हूँ',
0803bcfe-73b1-4442-a97f-5d80a78a94da,hi_airline_openai_minimal,airline,openai,28_hi_identity,female,fail,checker,gender-v3: known male agent contradicted by 'मैं … सकती हूँ',
0b056f1f-2db3-4bb3-88c4-40dfe4099fa4,hi_airline_openai_minimal,airline,openai,1_hi_identity,male,fail,checker,gender-v3: spoken slash-alternative gender forms (e.g. 'रहा/रही') — the agent must commit to one form,
23289e9b-9a1e-48de-9b05-1d9bab4eddbe,hi_airline_openai_minimal,airline,openai,19_hi_identity,female,fail,checker,gender-v3: spoken slash-alternative gender forms (e.g. 'रहा/रही') — the agent must commit to one form,
362623f9-3fa4-47ff-aebc-f4cceeba89f8,hi_airline_openai_minimal,airline,openai,21_hi_identity,female,fail,checker,gender-v3: spoken slash-alternative gender forms (e.g. 'रहा/रही') — the agent must commit to one form,
2ce42075-6b36-4f1b-9e82-392a53c09cbf,hi_airline_openai_minimal,airline,openai,49_hi_identity,female,fail,checker,gender-v3: spoken slash-alternative gender forms (e.g. 'रहा/रही') — the agent must commit to one form,
410f8956-2bbe-4392-9d79-5659f855bd1e,hi_airline_openai_minimal,airline,openai,34_hi_identity,female,fail,checker,gender-v3: known male agent contradicted by 'मैं … सकती हूँ',
56565c12-9e55-42ea-836d-3de2a694c5ae,hi_airline_openai_minimal,airline,openai,31_hi_identity,male,fail,checker,gender-v3: spoken slash-alternative gender forms (e.g. 'रहा/रही') — the agent must commit to one form,
6cdbc809-3376-4a6d-95da-3be80e20fbc2,hi_airline_openai_minimal,airline,openai,26_hi_identity,female,fail,checker,gender-v3: known male agent contradicted by 'मैं … सकती हूँ',
6adc300d-07ad-440e-ac0b-42f74395b8b0,hi_airline_openai_minimal,airline,openai,38_hi_identity,male,fail,checker,gender-v3: spoken slash-alternative gender forms (e.g. 'रहा/रही') — the agent must commit to one form,
6d56f410-daf7-4439-80c6-d517dfa47e74,hi_airline_openai_minimal,airline,openai,37_hi_identity,male,fail,checker,gender-v3: spoken slash-alternative gender forms (e.g. 'रहा/रही') — the agent must commit to one form,
6e6746df-5843-4daf-9ab2-93b6d96dd957,hi_airline_openai_minimal,airline,openai,43_hi_identity,male,fail,checker,gender-v3: spoken slash-alternative gender forms (e.g. 'रहा/रही') — the agent must commit to one form,
7c4cff5b-7527-482d-9ab4-d724fb0882a6,hi_airline_openai_minimal,airline,openai,20_hi_identity,female,fail,checker,gender-v3: known male agent contradicted by 'मैं … सकती हूँ',
a86d4b0c-8eed-4bac-977d-40ce44c3d9d2,hi_airline_openai_minimal,airline,openai,44_hi_identity,female,fail,checker,gender-v3: spoken slash-alternative gender forms (e.g. 'रहा/रही') — the agent must commit to one form,
9a14df45-e20b-440b-86ca-cfc0f8da0da2,hi_airline_openai_minimal,airline,openai,18_hi_identity,male,fail,checker,gender-v3: spoken slash-alternative gender forms (e.g. 'रहा/रही') — the agent must commit to one form,
b2f31a99-266f-475a-9067-e385e8421790,hi_airline_openai_minimal,airline,openai,8_hi_identity,female,fail,checker,gender-v3: spoken slash-alternative gender forms (e.g. 'रहा/रही') — the agent must commit to one form,
af8197d8-fe56-4ff6-9cf6-fb002f13b17e,hi_airline_openai_minimal,airline,openai,10_hi_identity,male,fail,checker,gender-v3: known male agent contradicted by 'मैं … सकती हूँ',
d5ec11a7-adff-4495-9bcd-1b324f26359b,hi_airline_gemini_high,airline,gemini,46_hi_identity,female,pass,judge,,
